MonthName,2017,2018,2019,2020,2021,2022
Jan,NA,1103.646003967742,128.17461919354838,156.9727175483871,1202.5028018064515,3054.6551001935486
Feb,NA,873.1163177857143,127.22094807142857,238.7562865862069,1699.8089207142857,2868.1789725714284
Mar,NA,625.7613250645161,137.32703912903224,160.37624280645161,1736.8622220645161,2876.3423403225806
Apr,NA,521.1036672,165.6038305,171.94698943333333,2297.6727538333334,3096.9862712
May,NA,678.795518516129,220.18585251612905,208.1258549354839,3140.7307600967742,2187.3189146451614
Jun,NA,520.5282307333333,274.75829873333333,236.15922896666666,2335.7923909666665,1382.7722758666666
Jul,NA,463.32767703225807,248.28966696774194,259.40554222580647,2131.0803615806453,1359.4077778387098
Aug,NA,322.0509377741935,199.817084,402.1534817419355,3098.3849388064514,1699.2303703548387
Sep,NA,227.46083276666667,185.99206443333333,368.3730346,3337.0526855666667,1484.2294556333334
Oct,NA,209.96393461290322,179.25207677419354,376.222389483871,3818.767995580645,1312.1185396923076
Nov,379.7320931818182,169.04776966666668,173.65195056666667,486.1445139,4434.1287109,NA
Dec,640.2092905483871,108.99809677419356,138.04170325806453,622.4884310322581,4044.7424788709677,NA
